,Currency,Rate
0,USD,1.0
1,AED,3.6725
2,AFN,62.903983
3,ALL,82.003696
4,AMD,376.94777
5,ANG,1.79
6,AOA,920.156519
7,ARS,1452.25
8,AUD,1.411431
9,AWG,1.79
10,AZN,1.702335
11,BAM,1.670743
12,BBD,2.0
13,BDT,122.33324
14,BGN,1.616279
15,BHD,0.376
16,BIF,2973.324061
17,BMD,1.0
18,BND,1.273286
19,BOB,6.931496
20,BRL,5.179572
21,BSD,1.0
22,BTN,91.632346
23,BWP,13.563818
24,BYN,2.899417
25,BZD,2.0
26,CAD,1.366999
27,CDF,2216.615127
28,CHF,0.778537
29,CLF,0.022128
30,CLP,874.633828
31,CNH,6.889596
32,CNY,6.90304
33,COP,3763.572814
34,CRC,472.243585
35,CUP,24.0
36,CVE,94.192477
37,CZK,20.735699
38,DJF,177.721
39,DKK,6.376611
40,DOP,60.26074
41,DZD,130.40526
42,EGP,49.247739
43,ERN,15.0
44,ETB,156.296029
45,EUR,0.854186
46,FJD,2.226357
47,FKP,0.746214
48,FOK,6.376805
49,GBP,0.746164
50,GEL,2.686624
51,GGP,0.746214
52,GHS,10.742437
53,GIP,0.746214
54,GMD,74.184867
55,GNF,8756.044185
56,GTQ,7.684174
57,GYD,209.248956
58,HKD,7.822186
59,HNL,26.529248
60,HRK,6.436251
61,HTG,131.168927
62,HUF,324.913217
63,IDR,16871.400742
64,ILS,3.082798
65,IMP,0.746214
66,INR,91.632632
67,IQD,1311.988588
68,IRR,1313266.723212
69,ISK,122.690238
70,JEP,0.746214
71,JMD,156.38027
72,JOD,0.709
73,JPY,157.245455
74,KES,129.01897
75,KGS,87.433127
76,KHR,4022.029966
77,KID,1.411419
78,KMF,420.257207
79,KRW,1459.333782
80,KWD,0.307154
81,KYD,0.833333
82,KZT,498.98041
83,LAK,21612.240301
84,LBP,89500.0
85,LKR,309.053708
86,LRD,183.938817
87,LSL,16.105854
88,LYD,6.316462
89,MAD,9.226375
90,MDL,17.14601
91,MGA,4180.567292
92,MKD,52.278536
93,MMK,2102.007141
94,MNT,3574.385166
95,MOP,8.056852
96,MRU,40.050293
97,MUR,46.61284
98,MVR,15.45993
99,MWK,1744.615384
100,MXN,17.322493
101,MYR,3.925096
102,MZN,63.628389
103,NAD,16.105854
104,NGN,1363.760947
105,NIO,36.881271
106,NOK,9.573412
107,NPR,146.611753
108,NZD,1.6827
109,OMR,0.384497
110,PAB,1.0
111,PEN,3.363779
112,PGK,4.349684
113,PHP,58.226732
114,PKR,279.664928
115,PLN,3.621041
116,PYG,6475.471538
117,QAR,3.64
118,RON,4.354203
119,RSD,100.00283
120,RUB,77.421005
121,RWF,1460.724595
122,SAR,3.75
123,SBD,7.940247
124,SCR,14.413917
125,SDG,454.051397
126,SEK,9.154231
127,SGD,1.27295
128,SHP,0.746214
129,SLE,24.480065
130,SLL,24480.064783
131,SOS,571.388372
132,SRD,37.79255
133,SSP,4590.212919
134,STN,20.928814
135,SYP,112.579102
136,SZL,16.105854
137,THB,31.437897
138,TJS,9.39324
139,TMT,3.50005
140,TND,2.878618
141,TOP,2.366366
142,TRY,43.968779
143,TTD,6.75647
144,TVD,1.411419
145,TWD,31.581761
146,TZS,2536.444568
147,UAH,43.283404
148,UGX,3583.16741
149,UYU,38.523274
150,UZS,12197.642253
151,VES,421.8772
152,VND,26100.93299
153,VUV,118.868107
154,WST,2.687695
155,XAF,560.342943
156,XCD,2.7
157,XCG,1.79
158,XDR,0.730143
159,XOF,560.342943
160,XPF,101.937847
161,YER,238.954617
162,ZAR,16.104559
163,ZMW,19.006819
164,ZWG,25.7594
165,ZWL,25.7594
